playlist_genre,track_artist,track_popularity,track_count,rank
edm,Anuel AA,93.0,1,4
edm,Bad Bunny,93.0,1,4
edm,Billie Eilish,96.0,2,3
edm,DaBaby,93.0,1,4
edm,Don Toliver,92.0,1,5
edm,Future,93.0,1,4
edm,Juice WRLD,92.0,2,5
edm,KAROL G,98.0,1,1
edm,Rauw Alejandro,92.0,1,5
edm,Trevor Daniel,97.0,1,2
latin,Billie Eilish,91.66666666666667,3,5
latin,Don Toliver,92.0,1,4
latin,Dua Lipa,97.0,1,2
latin,Regard,94.0,1,3
latin,Roddy Ricch,98.0,1,1
latin,Trevor Daniel,97.0,1,2
pop,Anuel AA,93.0,1,4
pop,Juice WRLD,92.0,1,5
pop,KAROL G,98.0,1,1
pop,Rauw Alejandro,92.0,1,5
pop,Regard,94.0,1,3
pop,Trevor Daniel,97.0,1,2
r&b,Anuel AA,93.0,1,4
r&b,Don Toliver,92.0,1,5
r&b,KAROL G,98.0,1,1
r&b,Rauw Alejandro,92.0,1,5
r&b,Regard,94.0,1,3
r&b,Trevor Daniel,97.0,1,2
rap,Don Toliver,87.5,2,2
rap,JACKBOYS,84.33333333333333,3,4
rap,KAROL G,85.5,2,3
rap,PARTYNEXTDOOR,84.0,1,5
rap,Trevor Daniel,97.0,1,1
rap,"Tyler, The Creator",84.0,1,5
rock,Aaron Smith,84.0,1,3
rock,Billie Eilish,95.0,1,1
rock,Charlie Puth,79.0,1,5
rock,Foster The People,83.0,1,4
rock,Post Malone,88.0,1,2
rock,a-ha,83.0,1,4
