year,track_artist,track_popularity,rank,year_avg_popularity
1957,Little Richard,1.0,2,30.0
1957,Ray Charles,59.0,1,30.0
1958,Elvis Presley,73.0,1,73.0
1960,Ella Fitzgerald,11.0,3,14.666666666666666
1960,Etta James,20.0,1,14.666666666666666
1960,Sam Cooke,13.0,2,14.666666666666666
1961,Chavela Vargas,47.0,1,47.0
1962,Booker T. & the M.G.'s,64.0,1,64.0
1963,Bob Dylan,59.0,3,43.6
1963,Charles Brown,0.0,5,43.6
1963,Darlene Love,73.0,1,43.6
1963,The Beatles,71.0,2,43.6
1963,The Surfaris,15.0,4,43.6
1964,Aretha Franklin,45.0,3,56.75
1964,Simon & Garfunkel,74.0,1,56.75
1964,The Beatles,65.0,2,56.75
1964,The Kinks,43.0,4,56.75
1965,Beny Moré,40.0,5,44.0
1965,Bob Dylan,71.0,3,44.0
1965,The Beatles,73.0,2,44.0
1965,The Byrds,42.0,4,44.0
1965,The Impressions,11.0,9,44.0
1965,The Kinks,36.0,6,44.0
1965,The Rolling Stones,76.0,1,44.0
1965,The Temptations,26.0,7,44.0
1965,The Who,21.0,8,44.0
1966,Bob Dylan,61.0,4,50.96969696969697
1966,Buffalo Springfield,73.0,1,50.96969696969697
1966,Donovan,59.0,6,50.96969696969697
1966,John Lee Hooker,2.0,10,50.96969696969697
1966,Percy Sledge,66.0,3,50.96969696969697
1966,The Animals,60.0,5,50.96969696969697
1966,The Beach Boys,71.0,2,50.96969696969697
1966,The Rolling Stones,38.666666666666664,8,50.96969696969697
1966,The Supremes,13.0,9,50.96969696969697
1966,The Who,56.0,7,50.96969696969697
1966,Wilson Pickett,61.0,4,50.96969696969697
1967,Aretha Franklin,54.0,8,60.67179487179487
1967,Bobbie Gentry,54.0,8,60.67179487179487
1967,Buffalo Springfield,43.0,9,60.67179487179487
1967,Frankie Valli,65.0,5,60.67179487179487
1967,Jackie Wilson,67.0,3,60.67179487179487
1967,Jefferson Airplane,69.0,2,60.67179487179487
1967,Jimi Hendrix,62.333333333333336,6,60.67179487179487
1967,Stevie Wonder,59.0,7,60.67179487179487
1967,The Beatles,66.0,4,60.67179487179487
1967,The Doors,42.4,10,60.67179487179487
1967,The Kinks,66.0,4,60.67179487179487
1967,The Moody Blues,67.0,3,60.67179487179487
1967,The Turtles,74.0,1,60.67179487179487
1968,Big Brother & The Holding Company,67.0,3,57.78205128205128
1968,Clarence Carter,50.5,8,57.78205128205128
1968,Cream,18.0,10,57.78205128205128
1968,Deep Purple,62.0,5,57.78205128205128
1968,Jimi Hendrix,76.0,1,57.78205128205128
1968,Pink Floyd,49.0,9,57.78205128205128
1968,Simon & Garfunkel,54.0,6,57.78205128205128
1968,Steppenwolf,64.66666666666667,4,57.78205128205128
1968,The Beatles,62.0,5,57.78205128205128
1968,The Doors,62.0,5,57.78205128205128
1968,The Foundations,72.0,2,57.78205128205128
1968,Traffic,52.0,7,57.78205128205128
1968,Van Morrison,62.0,5,57.78205128205128
1969,Dusty Springfield,71.0,2,64.51666666666667
1969,Led Zeppelin,63.666666666666664,5,64.51666666666667
1969,Marlena Shaw,62.0,7,64.51666666666667
1969,Santana,62.5,6,64.51666666666667
1969,The Band,61.5,8,64.51666666666667
1969,The Beatles,75.0,1,64.51666666666667
1969,The Doors,67.0,3,64.51666666666667
1969,The Isley Brothers,59.0,9,64.51666666666667
1969,The Stooges,57.5,10,64.51666666666667
1969,The Velvet Underground,66.0,4,64.51666666666667
1970,Bread,64.0,6,64.38461538461539
1970,Charles Wright & The Watts 103rd Street Rhythm Band,59.0,9,64.38461538461539
1970,"Crosby, Stills, Nash & Young",58.0,10,64.38461538461539
1970,"Emerson, Lake & Palmer",59.0,9,64.38461538461539
1970,Grateful Dead,64.0,6,64.38461538461539
1970,Joni Mitchell,69.0,3,64.38461538461539
1970,Led Zeppelin,67.5,5,64.38461538461539
1970,Mountain,68.0,4,64.38461538461539
1970,The Beatles,71.0,2,64.38461538461539
1970,The Delfonics,59.0,9,64.38461538461539
1970,The Doors,72.0,1,64.38461538461539
1970,The Velvet Underground,63.5,7,64.38461538461539
1970,Three Dog Night,63.0,8,64.38461538461539
1971,Alice Cooper,55.0,9,66.32142857142858
1971,Bill Withers,76.0,2,66.32142857142858
1971,David Bowie,66.0,5,66.32142857142858
1971,Don McLean,73.0,4,66.32142857142858
1971,Elton John,79.0,1,66.32142857142858
1971,Jethro Tull,62.5,7,66.32142857142858
1971,Led Zeppelin,54.714285714285715,10,66.32142857142858
1971,Ten Years After,60.0,8,66.32142857142858
1971,The Doors,74.0,3,66.32142857142858
1971,The Hollies,63.0,6,66.32142857142858
1972,Albert Hammond,62.0,9,67.32142857142857
1972,Alice Cooper,65.0,7,67.32142857142857
1972,Bill Withers,63.0,8,67.32142857142857
1972,Bread,61.0,10,67.32142857142857
1972,Carly Simon,75.0,1,67.32142857142857
1972,Chicago,61.0,10,67.32142857142857
1972,Deep Purple,66.5,5,67.32142857142857
1972,Eagles,75.0,1,67.32142857142857
1972,Elton John,69.0,4,67.32142857142857
1972,Jackson Browne,66.0,6,67.32142857142857
1972,Looking Glass,72.0,2,67.32142857142857
1972,Mott The Hoople,62.0,9,67.32142857142857
1972,Steely Dan,70.0,3,67.32142857142857
1972,The Doobie Brothers,75.0,1,67.32142857142857
1973,Aerosmith,61.5,10,67.77272727272727
1973,Blue Swede,75.0,1,67.77272727272727
1973,Bob Dylan,73.0,3,67.77272727272727
1973,Daryl Hall & John Oates,62.0,9,67.77272727272727
1973,David Bowie,64.0,8,67.77272727272727
1973,Led Zeppelin,65.0,7,67.77272727272727
1973,Marvin Gaye,62.0,9,67.77272727272727
1973,The Beatles,68.0,6,67.77272727272727
1973,The Doobie Brothers,69.0,5,67.77272727272727
1973,The Rolling Stones,72.0,4,67.77272727272727
1973,ZZ Top,74.0,2,67.77272727272727
1974,Ace,56.0,8,59.8
1974,America,57.0,7,59.8
1974,Bachman-Turner Overdrive,68.0,2,59.8
1974,"Bobby ""Blue"" Bland",58.0,6,59.8
1974,Dolly Parton,74.0,1,59.8
1974,Eagles,58.0,6,59.8
1974,Elton John,59.0,5,59.8
1974,Gordon Lightfoot,63.0,3,59.8
1974,Harry Chapin,55.0,9,59.8
1974,Johnny Pacheco,60.0,4,59.8
1974,Linda Ronstadt,59.0,5,59.8
1974,Lynyrd Skynyrd,54.0,10,59.8
1974,Steely Dan,60.0,4,59.8
1974,Sweet,60.0,4,59.8
1974,The Meters,56.0,8,59.8
1975,10cc,70.0,3,67.1
1975,Aerosmith,65.66666666666667,6,67.1
1975,America,66.0,5,67.1
1975,Bob Marley & The Wailers,70.0,3,67.1
1975,Bruce Springsteen,73.0,1,67.1
1975,Daryl Hall & John Oates,65.0,7,67.1
1975,Eagles,68.0,4,67.1
1975,Frankie Valli & The Four Seasons,70.0,3,67.1
1975,Hot Chocolate,71.0,2,67.1
1975,James Taylor,64.0,9,67.1
1975,John Lennon,65.0,7,67.1
1975,Led Zeppelin,62.333333333333336,10,67.1
1975,Paul Simon,64.5,8,67.1
1975,Peter Frampton,66.0,5,67.1
1975,Rod Stewart,66.0,5,67.1
1976,ABBA,72.0,2,68.46153846153847
1976,AC/DC,70.0,4,68.46153846153847
1976,Boney M.,64.0,9,68.46153846153847
1976,Chicago,74.0,1,68.46153846153847
1976,Daryl Hall & John Oates,70.0,4,68.46153846153847
1976,England Dan,61.0,10,68.46153846153847
1976,Kansas,74.0,1,68.46153846153847
1976,Ramones,71.0,3,68.46153846153847
1976,Silver,66.0,7,68.46153846153847
1976,The Bellamy Brothers,68.0,5,68.46153846153847
1976,The Runaways,65.0,8,68.46153846153847
1976,Tom Petty and the Heartbreakers,68.0,5,68.46153846153847
1976,Wild Cherry,67.0,6,68.46153846153847
1977,Billy Joel,63.6,6,66.00833333333334
1977,Commodores,64.0,5,66.00833333333334
1977,Dan Hill,61.0,9,66.00833333333334
1977,Eric Clapton,69.0,4,66.00833333333334
1977,James Taylor,60.0,10,66.00833333333334
1977,Kansas,77.0,1,66.00833333333334
1977,Peter Gabriel,63.5,7,66.00833333333334
1977,Rush,62.0,8,66.00833333333334
1977,Sex Pistols,62.0,8,66.00833333333334
1977,Styx,64.0,5,66.00833333333334
1977,Supertramp,74.0,2,66.00833333333334
1977,Talking Heads,72.0,3,66.00833333333334
1978,Dr. Hook,63.0,7,64.92307692307692
1978,Frankie Valli,63.0,7,64.92307692307692
1978,Gerry Rafferty,67.0,3,64.92307692307692
1978,Jackson Browne,64.0,6,64.92307692307692
1978,Kate Bush,68.0,2,64.92307692307692
1978,Little River Band,62.0,8,64.92307692307692
1978,Patti Smith,65.0,4,64.92307692307692
1978,Ramones,64.5,5,64.92307692307692
1978,"Ray Parker, Jr.",64.0,6,64.92307692307692
1978,TOTO,75.0,1,64.92307692307692
1978,The Doobie Brothers,68.0,2,64.92307692307692
1978,The Jacksons,59.5,10,64.92307692307692
1978,Village People,61.0,9,64.92307692307692
1979,AC/DC,83.0,1,68.45454545454545
1979,Christopher Cross,64.0,7,68.45454545454545
1979,Joy Division,63.5,8,68.45454545454545
1979,Norman Greenbaum,68.0,5,68.45454545454545
1979,Rupert Holmes,71.0,3,68.45454545454545
1979,Sister Sledge,71.0,3,68.45454545454545
1979,Status Quo,62.0,9,68.45454545454545
1979,The Clash,68.5,4,68.45454545454545
1979,The Cure,67.5,6,68.45454545454545
1979,The Knack,73.0,2,68.45454545454545
