Feature 1,Feature 2,Correlation
track_popularity,track_popularity,1.0
danceability,track_popularity,0.08544254058536573
energy,track_popularity,-0.10456773489756552
key,track_popularity,0.03459862218123316
loudness,track_popularity,0.052270456229728084
mode,track_popularity,-0.03613236295881252
speechiness,track_popularity,0.002339987106107023
acousticness,track_popularity,0.08950493754491569
instrumentalness,track_popularity,-0.05518907717498539
liveness,track_popularity,-0.028925831667547877
valence,track_popularity,-0.05350454433589466
tempo,track_popularity,-0.023298830395227454
duration_ms,track_popularity,-0.16844333438085346
Views,track_popularity,0.14469637232838906
Likes,track_popularity,0.1914415058686953
Comments,track_popularity,0.11190130662012993
artist_popularity,track_popularity,0.27076322907971984
playlist_genre_edm,track_popularity,0.07062938825372798
playlist_genre_latin,track_popularity,0.07232522464017027
playlist_genre_pop,track_popularity,0.10520696988499158
playlist_genre_r&b,track_popularity,0.030147637632793683
playlist_genre_rap,track_popularity,-0.07229928487522279
playlist_genre_rock,track_popularity,-0.16020872125449925
release_year,track_popularity,0.17438937807907945
track_popularity,danceability,0.08544254058536573
danceability,danceability,1.0
energy,danceability,-0.11694438783301223
key,danceability,-0.006986069601314187
loudness,danceability,0.09800474266764872
mode,danceability,-0.14507747353777123
speechiness,danceability,0.23906047831457425
acousticness,danceability,0.0074591378609077654
instrumentalness,danceability,-0.08179784733506604
liveness,danceability,-0.09525526709090769
valence,danceability,0.34303051666011686
tempo,danceability,-0.223127120958687
duration_ms,danceability,-0.21357142425208783
Views,danceability,0.11294106927740746
Likes,danceability,0.13333150240115746
Comments,danceability,0.07911281006555024
artist_popularity,danceability,0.0249570693973667
playlist_genre_edm,danceability,0.01581438923611223
playlist_genre_latin,danceability,0.1845939772268766
playlist_genre_pop,danceability,0.02469354228538627
playlist_genre_r&b,danceability,0.12461923534564419
playlist_genre_rap,danceability,0.2862881352147206
playlist_genre_rock,danceability,-0.4808952126698792
release_year,danceability,0.2769997673929838
track_popularity,energy,-0.10456773489756552
danceability,energy,-0.11694438783301223
energy,energy,1.0
key,energy,0.037560775540612414
loudness,energy,0.640260874830459
mode,energy,-0.0093948618563766
speechiness,energy,0.012400345060278501
acousticness,energy,-0.5210649417086051
instrumentalness,energy,0.005874076805324532
liveness,energy,0.11035540969751978
valence,energy,0.3037266747538937
tempo,energy,0.14787390864166813
duration_ms,energy,-0.0003693140170756398
Views,energy,0.009881187420087279
Likes,energy,-0.04801823811793247
Comments,energy,0.004675949709040163
artist_popularity,energy,-0.06809337784417054
playlist_genre_edm,energy,0.037096745608174705
playlist_genre_latin,energy,0.01896261592286712
playlist_genre_pop,energy,0.01647753660420114
playlist_genre_r&b,energy,-0.24250052158076374
playlist_genre_rap,energy,-0.04780165708018797
playlist_genre_rock,energy,0.17604129199216628
release_year,energy,-0.05913471724877973
track_popularity,key,0.03459862218123316
danceability,key,-0.006986069601314187
energy,key,0.037560775540612414
key,key,1.0
loudness,key,0.02324936608176277
mode,key,-0.13003771695400962
speechiness,key,0.05521420472480344
acousticness,key,-0.03183535506622129
instrumentalness,key,0.015241974373625438
liveness,key,0.02652690431440635
valence,key,0.00978180950679022
tempo,key,-0.014243070113489392
duration_ms,key,0.0182919362506671
Views,key,-0.01116199476898167
Likes,key,-0.004878036896884825
Comments,key,-0.01234408849093686
artist_popularity,key,-0.017636070789273577
playlist_genre_edm,key,0.0052075469543506
playlist_genre_latin,key,0.004789999080489477
playlist_genre_pop,key,-0.009424995682762583
playlist_genre_r&b,key,-0.02152344749878897
playlist_genre_rap,key,0.058053251767056585
playlist_genre_rock,key,-0.023328422500114143
release_year,key,0.023985787343415436
track_popularity,loudness,0.052270456229728084
danceability,loudness,0.09800474266764872
energy,loudness,0.640260874830459
key,loudness,0.02324936608176277
loudness,loudness,1.0
mode,loudness,-0.048994887936827235
speechiness,loudness,0.08627770925517778
acousticness,loudness,-0.33268315893102823
instrumentalness,loudness,-0.1498568830557653
liveness,loudness,0.03835657618739862
valence,loudness,0.1364893432343613
tempo,loudness,0.07080205553500042
duration_ms,loudness,-0.17562073860439104
Views,loudness,0.18660839852491135
Likes,loudness,0.16757568305973247
Comments,loudness,0.10494362601181866
artist_popularity,loudness,0.12415381519187958
playlist_genre_edm,loudness,0.10820305574294671
playlist_genre_latin,loudness,0.12312699294521351
playlist_genre_pop,loudness,0.12638126112566828
playlist_genre_r&b,loudness,-0.0896057340524042
playlist_genre_rap,loudness,0.035617198815994344
playlist_genre_rock,loudness,-0.22342609613708775
release_year,loudness,0.37503871330293564
track_popularity,mode,-0.03613236295881252
danceability,mode,-0.14507747353777123
energy,mode,-0.0093948618563766
key,mode,-0.13003771695400962
loudness,mode,-0.048994887936827235
mode,mode,1.0
speechiness,mode,-0.11171965295835676
acousticness,mode,0.0030122482808367006
instrumentalness,mode,0.004365389445750197
liveness,mode,-0.011549558582412531
valence,mode,-0.04432441064936812
tempo,mode,0.04083688755772676
duration_ms,mode,0.016250365927200017
Views,mode,-0.04704275331078769
Likes,mode,-0.053779894160485106
Comments,mode,-0.024014095355245964
artist_popularity,mode,-0.019702820215454227
playlist_genre_edm,mode,-0.027726325757926485
playlist_genre_latin,mode,-0.019672669452396006
playlist_genre_pop,mode,-0.018642822680185755
playlist_genre_r&b,mode,-0.06182038929108711
playlist_genre_rap,mode,-0.06977875844800824
playlist_genre_rock,mode,0.1463651522492386
release_year,mode,-0.1181295745612027
track_popularity,speechiness,0.002339987106107023
danceability,speechiness,0.23906047831457425
energy,speechiness,0.012400345060278501
key,speechiness,0.05521420472480344
loudness,speechiness,0.08627770925517778
mode,speechiness,-0.11171965295835676
speechiness,speechiness,1.0
acousticness,speechiness,-0.018081582786508288
instrumentalness,speechiness,-0.06591873236660381
liveness,speechiness,0.056640068451070315
valence,speechiness,0.029178395888618813
tempo,speechiness,0.06356395414436627
duration_ms,speechiness,-0.06079169239099574
Views,speechiness,-0.028646061739841414
Likes,speechiness,0.004678172009125678
Comments,speechiness,0.01378180847696014
artist_popularity,speechiness,-0.044234797057760504
playlist_genre_edm,speechiness,-0.052886399695991515
playlist_genre_latin,speechiness,-0.006867709971183982
playlist_genre_pop,speechiness,-0.11108589642735874
playlist_genre_r&b,speechiness,0.10821907981393174
playlist_genre_rap,speechiness,0.44880006278518764
playlist_genre_rock,speechiness,-0.27796273262868304
release_year,speechiness,0.18083027975087684
track_popularity,acousticness,0.08950493754491569
danceability,acousticness,0.0074591378609077654
energy,acousticness,-0.5210649417086051
key,acousticness,-0.03183535506622129
loudness,acousticness,-0.33268315893102823
mode,acousticness,0.0030122482808367006
speechiness,acousticness,-0.018081582786508288
acousticness,acousticness,1.0
instrumentalness,acousticness,0.0015497312503913434
liveness,acousticness,-0.05809880340329196
valence,acousticness,-0.09769209379611796
tempo,acousticness,-0.08745876423059266
duration_ms,acousticness,-0.005070684557424981
Views,acousticness,0.009793126327813633
Likes,acousticness,0.026746153579007042
Comments,acousticness,-0.0034243067685757167
artist_popularity,acousticness,0.05623847642984617
playlist_genre_edm,acousticness,-0.02872756892307237
playlist_genre_latin,acousticness,0.11045393185069007
playlist_genre_pop,acousticness,-0.039434716589871334
playlist_genre_r&b,acousticness,0.15758765034119654
playlist_genre_rap,acousticness,-0.05060963344202845
playlist_genre_rock,acousticness,-0.1215909402568755
release_year,acousticness,0.04988666417118037
track_popularity,instrumentalness,-0.05518907717498539
danceability,instrumentalness,-0.08179784733506604
energy,instrumentalness,0.005874076805324532
key,instrumentalness,0.015241974373625438
loudness,instrumentalness,-0.1498568830557653
mode,instrumentalness,0.004365389445750197
speechiness,instrumentalness,-0.06591873236660381
acousticness,instrumentalness,0.0015497312503913434
instrumentalness,instrumentalness,1.0
liveness,instrumentalness,-0.007373997103633608
valence,instrumentalness,-0.07081748206299597
tempo,instrumentalness,0.03615090612362896
duration_ms,instrumentalness,0.11339300291095984
Views,instrumentalness,-0.06659745825168215
Likes,instrumentalness,-0.06321909960111707
Comments,instrumentalness,-0.039531422541278984
artist_popularity,instrumentalness,-0.028661355234059813
playlist_genre_edm,instrumentalness,-0.0037446557883543665
playlist_genre_latin,instrumentalness,-0.07464601181447145
playlist_genre_pop,instrumentalness,0.013434422203878409
playlist_genre_r&b,instrumentalness,-0.036738918555591485
playlist_genre_rap,instrumentalness,-0.06299969654388293
playlist_genre_rock,instrumentalness,0.122534879058914
release_year,instrumentalness,-0.09312634444200409
track_popularity,liveness,-0.028925831667547877
danceability,liveness,-0.09525526709090769
energy,liveness,0.11035540969751978
key,liveness,0.02652690431440635
loudness,liveness,0.03835657618739862
mode,liveness,-0.011549558582412531
speechiness,liveness,0.056640068451070315
acousticness,liveness,-0.05809880340329196
instrumentalness,liveness,-0.007373997103633608
liveness,liveness,1.0
valence,liveness,0.011677327728264067
tempo,liveness,0.042505446171667405
duration_ms,liveness,0.04172717920457861
Views,liveness,-0.07589752922569332
Likes,liveness,-0.06549818930923833
Comments,liveness,-0.040973623153041094
artist_popularity,liveness,-0.0645172219805634
playlist_genre_edm,liveness,-0.008426744901193555
playlist_genre_latin,liveness,-0.013178682833558544
playlist_genre_pop,liveness,-0.04130287568471891
playlist_genre_r&b,liveness,-0.03098629278562579
playlist_genre_rap,liveness,0.0640832306289401
playlist_genre_rock,liveness,0.029881449145607353
release_year,liveness,-0.020465173907347516
track_popularity,valence,-0.05350454433589466
danceability,valence,0.34303051666011686
energy,valence,0.3037266747538937
key,valence,0.00978180950679022
loudness,valence,0.1364893432343613
mode,valence,-0.04432441064936812
speechiness,valence,0.029178395888618813
acousticness,valence,-0.09769209379611796
instrumentalness,valence,-0.07081748206299597
liveness,valence,0.011677327728264067
valence,valence,1.0
tempo,valence,-0.018347637684979854
duration_ms,valence,-0.07248850707180278
Views,valence,0.03772534090465328
Likes,valence,-0.011880866702588385
Comments,valence,0.008786540440870442
artist_popularity,valence,-0.13440252602320288
playlist_genre_edm,valence,-0.0630000221471449
playlist_genre_latin,valence,0.14244197253888627
playlist_genre_pop,valence,-0.0575634043303451
playlist_genre_r&b,valence,-0.04530130104127978
playlist_genre_rap,valence,-0.023048888408147707
playlist_genre_rock,valence,0.027481138399541607
release_year,valence,-0.1790971664985414
track_popularity,tempo,-0.023298830395227454
danceability,tempo,-0.223127120958687
energy,tempo,0.14787390864166813
key,tempo,-0.014243070113489392
loudness,tempo,0.07080205553500042
mode,tempo,0.04083688755772676
speechiness,tempo,0.06356395414436627
acousticness,tempo,-0.08745876423059266
instrumentalness,tempo,0.03615090612362896
liveness,tempo,0.042505446171667405
valence,tempo,-0.018347637684979854
tempo,tempo,1.0
duration_ms,tempo,0.0052274295883766525
Views,tempo,-0.035241225820532
Likes,tempo,-0.02756496414336385
Comments,tempo,-0.006598809116414512
artist_popularity,tempo,0.005984940855657993
playlist_genre_edm,tempo,-0.00039929877535583365
playlist_genre_latin,tempo,-0.03624404195757599
playlist_genre_pop,tempo,0.005022981496005739
playlist_genre_r&b,tempo,-0.07782404586067328
playlist_genre_rap,tempo,-0.028385321620261073
playlist_genre_rock,tempo,0.10562978625195824
release_year,tempo,0.0033451896031700167
track_popularity,duration_ms,-0.16844333438085346
danceability,duration_ms,-0.21357142425208783
energy,duration_ms,-0.0003693140170756398
key,duration_ms,0.0182919362506671
loudness,duration_ms,-0.17562073860439104
mode,duration_ms,0.016250365927200017
speechiness,duration_ms,-0.06079169239099574
acousticness,duration_ms,-0.005070684557424981
instrumentalness,duration_ms,0.11339300291095984
liveness,duration_ms,0.04172717920457861
valence,duration_ms,-0.07248850707180278
tempo,duration_ms,0.0052274295883766525
duration_ms,duration_ms,1.0
Views,duration_ms,-0.04656020838917718
Likes,duration_ms,-0.11193534954572087
Comments,duration_ms,-0.0621721865970117
artist_popularity,duration_ms,-0.15664291970015962
playlist_genre_edm,duration_ms,-0.08786312859246984
playlist_genre_latin,duration_ms,-0.0869503701756649
playlist_genre_pop,duration_ms,-0.13216694231059778
playlist_genre_r&b,duration_ms,-0.01612387974313763
playlist_genre_rap,duration_ms,-0.011834151795503919
playlist_genre_rock,duration_ms,0.25555930354878365
release_year,duration_ms,-0.3294085973677896
track_popularity,Views,0.14469637232838906
danceability,Views,0.11294106927740746
energy,Views,0.009881187420087279
key,Views,-0.01116199476898167
loudness,Views,0.18660839852491135
mode,Views,-0.04704275331078769
speechiness,Views,-0.028646061739841414
acousticness,Views,0.009793126327813633
instrumentalness,Views,-0.06659745825168215
liveness,Views,-0.07589752922569332
valence,Views,0.03772534090465328
tempo,Views,-0.035241225820532
duration_ms,Views,-0.04656020838917718
Views,Views,1.0
Likes,Views,0.9178598306085165
Comments,Views,0.6707083722659998
artist_popularity,Views,0.3504296926044718
playlist_genre_edm,Views,0.13449454561632512
playlist_genre_latin,Views,0.11627729174421463
playlist_genre_pop,Views,0.19572182520933823
playlist_genre_r&b,Views,-0.07668862108505302
playlist_genre_rap,Views,-0.08516254278962891
playlist_genre_rock,Views,-0.2171683626489644
release_year,Views,0.25036373169367443
track_popularity,Likes,0.1914415058686953
danceability,Likes,0.13333150240115746
energy,Likes,-0.04801823811793247
key,Likes,-0.004878036896884825
loudness,Likes,0.16757568305973247
mode,Likes,-0.053779894160485106
speechiness,Likes,0.004678172009125678
acousticness,Likes,0.026746153579007042
instrumentalness,Likes,-0.06321909960111707
liveness,Likes,-0.06549818930923833
valence,Likes,-0.011880866702588385
tempo,Likes,-0.02756496414336385
duration_ms,Likes,-0.11193534954572087
Views,Likes,0.9178598306085165
Likes,Likes,1.0
Comments,Likes,0.785927152111976
artist_popularity,Likes,0.4080507578661728
playlist_genre_edm,Likes,0.1411621142053819
playlist_genre_latin,Likes,0.07001390915683048
playlist_genre_pop,Likes,0.2106116531004017
playlist_genre_r&b,Likes,-0.03657861496542137
playlist_genre_rap,Likes,-0.061475952479270374
playlist_genre_rock,Likes,-0.24710441325285534
release_year,Likes,0.29713708340631206
track_popularity,Comments,0.11190130662012993
danceability,Comments,0.07911281006555024
energy,Comments,0.004675949709040163
key,Comments,-0.01234408849093686
loudness,Comments,0.10494362601181866
mode,Comments,-0.024014095355245964
speechiness,Comments,0.01378180847696014
acousticness,Comments,-0.0034243067685757167
instrumentalness,Comments,-0.039531422541278984
liveness,Comments,-0.040973623153041094
valence,Comments,0.008786540440870442
tempo,Comments,-0.006598809116414512
duration_ms,Comments,-0.0621721865970117
Views,Comments,0.6707083722659998
Likes,Comments,0.785927152111976
Comments,Comments,1.0
artist_popularity,Comments,0.22844387304687785
playlist_genre_edm,Comments,0.09156447740069189
playlist_genre_latin,Comments,0.038421850253973336
playlist_genre_pop,Comments,0.1546959902296641
playlist_genre_r&b,Comments,-0.04580357038174405
playlist_genre_rap,Comments,-0.04140221889245877
playlist_genre_rock,Comments,-0.1528526564228523
release_year,Comments,0.17737849753755938
track_popularity,artist_popularity,0.27076322907971984
danceability,artist_popularity,0.0249570693973667
energy,artist_popularity,-0.06809337784417054
key,artist_popularity,-0.017636070789273577
loudness,artist_popularity,0.12415381519187958
mode,artist_popularity,-0.019702820215454227
speechiness,artist_popularity,-0.044234797057760504
acousticness,artist_popularity,0.05623847642984617
instrumentalness,artist_popularity,-0.028661355234059813
liveness,artist_popularity,-0.0645172219805634
valence,artist_popularity,-0.13440252602320288
tempo,artist_popularity,0.005984940855657993
duration_ms,artist_popularity,-0.15664291970015962
Views,artist_popularity,0.3504296926044718
Likes,artist_popularity,0.4080507578661728
Comments,artist_popularity,0.22844387304687785
artist_popularity,artist_popularity,1.0
playlist_genre_edm,artist_popularity,0.14937875924018573
playlist_genre_latin,artist_popularity,-0.004782735034947637
playlist_genre_pop,artist_popularity,0.21698564594829703
playlist_genre_r&b,artist_popularity,-0.0022427752484094265
playlist_genre_rap,artist_popularity,-0.10727897028418425
