track_artist,count_above_threshold
!!!,0
!deladap,0
"""Dear Evan Hansen"" August 2018 Broadway Cast",0
#TocoParaVos,0
$ANFI,0
$IFRA,0
$uicideBoy$,2
'Til Tuesday,0
(G)I-DLE,0
(Sandy) Alex G,0
(dc),0
*NSYNC,0
-M-,0
.Sinh,0
.SØN,0
015B,0
03 Greedo,0
10 Years,0
10cc,0
11 Acorn Lane,0
11 LIT3S,0
112,0
11:11,0
13-Side,0
18 Karat,0
18 Kilates,0
187 Strassenbande,0
1986 Omega Tribe,0
1A.m.,0
1Kilo,0
1PLAYY,0
1takejay,0
2 Brothers On The 4th Floor,0
2 Chainz,0
2 Eivissa,0
2 Hyped Brothers & A Dog,0
2 LIVE CREW,0
2 Man Embassy,0
20syl,0
21 Savage,3
24hrs,0
24kGoldn,2
24por7,0
27CLUB,0
2DE1,0
2K,0
2NE1,0
2Pac,2
2STRANGE,0
2Scratch,0
2milly,0
2nd Exit,0
2nd Life,0
2xxx!,0
3 Are Legend,0
3 Doors Down,2
3 Tenores,0
3 Years Hollow,0
3030,0
32Stitches,0
3582,0
38 Special,0
3LAU,0
3OH!3,0
423kidk,0
4B,0
4FOXSAKE,0
4Minute,0
5 Seconds of Summer,6
50 Cent,2
"50 Cent, DJ Whoo Kid",0
500 Year Flood,0
5th Ward Boyz,0
6 Fingers & Tass,0
600 Breezy,0
69 Boyz,0
6LACK,1
6cyclemind,0
6ix9ine,0
6ixbuzz,0
6o,0
702,0
7715,0
7UBO,0
7apes,0
7ru7h,0
8 Graves,0
88rising,0
8Ball,0
8Ball & MJG,0
9 Gramm,0
90 Miles,0
911headcase,0
95 South,0
9th Wonder,0
A Banca Records,0
A Billion Robots,0
A Boogie Wit da Hoodie,5
A Day To Remember,0
A Flock Of Seagulls,0
A Great Big World,1
A Kay,0
A Killer's Confession,0
A L E X,0
A Nite Out,0
A Perfect Circle,0
A R I Z O N A,0
A Split Second,0
A Touch Of Class,0
A Tribe Called Quest,0
