Source,Target,Weight
Nicki Nicole,Mon Laferte,1
Duki,CA7RIEL,2
The Kid LAROI,G Herbo,1
Flume,Vera Blue,1
Gigi D'Agostino,VIZE,1
will.i.am,Britney Spears,1
Bonez MC,RAF Camora,6
Regi,Camille,2
Henri PFR,Famba,1
Alvaro Soler,Topic,1
TINI,Greeicy,1
Mau y Ricky,Prince Royce,1
Mau y Ricky,Piso 21,1
Prince Royce,Piso 21,1
Pabllo Vittar,Rina Sawayama,1
Diego & Arnaldo,Os Barões Da Pisadinha,1
Major Lazer,Diplo,6
Alok,Luis Fonsi,1
Alok,Lunay,1
Alok,Lenny Tavárez,1
Luis Fonsi,Lunay,1
Luis Fonsi,Lenny Tavárez,1
Lunay,Lenny Tavárez,2
Gloria Groove,MC Hariel,1
Alok,Mc Davi,2
Alok,MC Hariel,1
Mc Davi,MC Hariel,2
Orochi,MC Cabelinho,1
Orochi,Mc Don Juan,1
MC Cabelinho,Mc Don Juan,1
Hungria Hip Hop,Kawe,1
Fernando & Sorocaba,Guilherme & Benuto,1
Alok,Dynoro,1
L7NNON,Papatinho,2
Mc Don Juan,MC Hariel,3
Mc Don Juan,Mc Davi,2
Mc Don Juan,Mc Pedrinho,2
MC Hariel,Mc Davi,2
MC Hariel,Mc Pedrinho,1
Mc Davi,Mc Pedrinho,3
Lady Gaga,Pabllo Vittar,1
MC Hariel,Mc Don Juan,4
Diego & Arnaldo,Diego & Victor Hugo,1
Lucas Lucco,Guilherme & Benuto,1
Marcos & Belutti,Dilsinho,1
Mc Davi,Mc Don Juan,4
Guilherme & Benuto,Os Barões Da Pisadinha,1
MC Cabelinho,L7NNON,1
MC Cabelinho,Filipe Ret,2
L7NNON,Filipe Ret,2
Guilherme & Benuto,Dilsinho,1
Costa Gold,MC Caverinha,1
Costa Gold,L7NNON,1
Costa Gold,Papatinho,1
MC Caverinha,L7NNON,1
MC Caverinha,Papatinho,1
Orochi,Papatinho,1
Alok,Vintage Culture,1
Alok,FAULHABER,1
Vintage Culture,FAULHABER,1
MEDUZA,Alok,1
Dilsinho,Malibu,1
Rashid,Emicida,1
Diego & Victor Hugo,Maiara & Maraisa,1
Tribo da Periferia,Hungria Hip Hop,1
WC no Beat,Marginal Supply,1
MC Maneirinho,Neo Beats,1
Filipe Ret,L7NNON,2
Filipe Ret,Anitta,1
Filipe Ret,MC Cabelinho,1
Filipe Ret,MC Maneirinho,1
MC Cabelinho,MC Maneirinho,1
MC Cabelinho,Neo Beats,3
Kawe,WIU,1
Filipe Ret,MC Hariel,1
Pineapple StormTv,L7NNON,2
Pineapple StormTv,Xamã,3
Pineapple StormTv,Lourena,2
Pineapple StormTv,Filipe Ret,3
L7NNON,Xamã,1
L7NNON,Lourena,1
Xamã,Lourena,2
Xamã,Filipe Ret,1
Lourena,Filipe Ret,1
Maverick Sabre,Jorja Smith,1
Maverick Sabre,Vintage Culture,1
Jorja Smith,Vintage Culture,1
Pineapple StormTv,MC Cabelinho,2
