Id,Label,Total_Streams,Popularity
Daryl Hall & John Oates,Daryl Hall & John Oates,141937840.0,1
Gorgon City,Gorgon City,422135.0,0
Bizzey,Bizzey,19780055.0,0
Fabio Rovazzi,Fabio Rovazzi,363543.0,0
Evaluna Montaner,Evaluna Montaner,382455362.0,0
Taio Cruz,Taio Cruz,7553683.0,1
Camila Cabello,Camila Cabello,7306054355.0,6
Aventura,Aventura,901308175.0,0
Abraham Mateo,Abraham Mateo,77383540.0,1
KASIMIR1441,KASIMIR1441,106971964.0,0
A Boogie Wit da Hoodie,A Boogie Wit da Hoodie,1480424836.0,5
K/DA,K/DA,59130503.0,1
Ally Brooke,Ally Brooke,18019.0,0
Emma,Emma,17475826.0,0
Adexe & Nau,Adexe & Nau,96502.0,0
Tego Calderon,Tego Calderon,38789420.0,0
Tonny Tun Tun,Tonny Tun Tun,43671.0,0
Maty Noyes,Maty Noyes,2598170.0,0
The Drifters,The Drifters,409937.0,0
Florence + The Machine,Florence + The Machine,19832968.0,0
Ms. Lauryn Hill,Ms. Lauryn Hill,24205.0,0
Afro Bros,Afro Bros,101939379.0,0
Surfaces,Surfaces,515584891.0,1
Nicki Nicole,Nicki Nicole,1081709561.0,0
Chili Fernandez,Chili Fernandez,797343.0,0
Vice,Vice,74643102.0,0
YUNGBLUD,YUNGBLUD,120720879.0,1
ILLENIUM,ILLENIUM,265753734.0,1
Matoma,Matoma,200090215.0,0
The Script,The Script,25911733.0,2
George Ezra,George Ezra,420565456.0,1
Alec Benjamin,Alec Benjamin,569297973.0,5
Q-Tip,Q-Tip,8695060.0,0
Liam Payne,Liam Payne,924890409.0,1
Ed Sheeran,Ed Sheeran,18700501954.0,12
(G)I-DLE,(G)I-DLE,97824355.0,0
Monsieur Periné,Monsieur Periné,47373064.0,0
Ñejo & Dalmata,Ñejo & Dalmata,28662006.0,0
Men At Work,Men At Work,1015947.0,0
Jimilian,Jimilian,34672794.0,0
Jesse McCartney,Jesse McCartney,5361383.0,0
INXS,INXS,1913853.0,0
Patron,Patron,72219157.0,0
Kizo,Kizo,215064561.0,0
Alex Vargas,Alex Vargas,682184.0,0
Billie Eilish,Billie Eilish,12077930864.0,20
Papichamp,Papichamp,93037161.0,0
Au/Ra,Au/Ra,95284034.0,1
Side Baby,Side Baby,13023212.0,0
Kurdo,Kurdo,10719134.0,0
Lime Cordiale,Lime Cordiale,456269.0,0
Miss Li,Miss Li,80341255.0,0
The Pussycat Dolls,The Pussycat Dolls,8527297.0,0
Badshah,Badshah,151179938.0,0
Foster The People,Foster The People,22673898.0,1
Moby,Moby,24113760.0,0
Big Sean,Big Sean,1164957170.0,2
Ghost,Ghost,3671474.0,0
The Kid LAROI,The Kid LAROI,5578701546.0,0
Santana,Santana,5120047.0,0
ICON,ICON,8906226.0,0
NSTASIA,NSTASIA,21871693.0,0
SHAED,SHAED,227490885.0,2
Gucci Mane,Gucci Mane,1484369340.0,2
DMN,DMN,2757493.0,0
Lali,Lali,9733188.0,0
Van Morrison,Van Morrison,25470437.0,1
Kiiara,Kiiara,107259509.0,0
Nimo,Nimo,205816237.0,2
Gobs,Gobs,26498451.0,0
MK,MK,1482620.0,0
Omar Montes,Omar Montes,212160941.0,1
Jósean Log,Jósean Log,16244299.0,0
Willie Peyote,Willie Peyote,11362664.0,0
Lemaitre,Lemaitre,185287.0,0
Super Yei,Super Yei,183949717.0,1
Hook N Sling,Hook N Sling,32721533.0,0
De Vet Du,De Vet Du,4778252.0,0
Quinn XCII,Quinn XCII,23412051.0,0
Dvicio,Dvicio,3189496.0,0
Vale Lambo,Vale Lambo,24186900.0,0
Lucas Lucco,Lucas Lucco,31015022.0,0
The Notorious B.I.G.,The Notorious B.I.G.,27592885.0,2
Loredana Bertè,Loredana Bertè,3939000.0,0
Keala Settle,Keala Settle,298281148.0,1
Saweetie,Saweetie,873292386.0,0
Don Patricio,Don Patricio,5056685.0,1
White 2115,White 2115,420240918.0,0
The Cranberries,The Cranberries,10957985.0,2
Pineapple StormTv,Pineapple StormTv,224333690.0,0
Lisi,Lisi,156976.0,0
